iter	Passed	Remaining
545	32536	27054
546	32590	26990
547	32643	26924
548	32702	26864
549	32760	26803
550	32824	26748
551	32881	26686
552	32946	26631
553	33002	26568
554	33066	26513
555	33126	26453
556	33186	26394
557	33245	26334
558	33303	26273
559	33366	26216
560	33423	26154
561	33484	26096
562	33547	26039
563	33609	25981
564	33664	25918
565	33723	25858
566	33781	25798
567	33840	25737
568	33893	25673
569	33957	25617
570	34008	25551
571	34064	25488
572	34121	25427
573	34182	25369
574	34241	25308
575	34299	25248
576	34356	25186
577	34419	25129
578	34478	25069
579	34538	25010
580	34590	24945
581	34650	24886
582	34704	24823
583	34757	24758
584	34813	24696
585	34868	24633
586	34922	24570
587	34980	24510
588	35036	24448
589	35093	24386
590	35147	24323
591	35208	24265
592	35261	24201
593	35315	24138
594	35373	24077
595	35431	24017
596	35490	23957
597	35542	23892
598	35602	23834
599	35657	23771
600	35711	23708
601	35762	23643
602	35825	23586
603	35882	23525
604	35940	23465
605	35996	23403
606	36055	23344
607	36110	23281
608	36166	23220
609	36218	23156
610	36276	23095
611	36348	23044
612	36419	22992
613	36486	22937
614	36557	22885
615	36629	22833
616	36695	22778
617	36761	22722
618	36826	22667
619	36897	22614
620	36952	22552
621	37015	22495
622	37069	22432
623	37128	22372
624	37190	22314
625	37248	22254
626	37315	22198
627	37369	22136
628	37441	22084
629	37517	22034
630	37575	21973
631	37646	21920
632	37709	21863
633	37766	21802
634	37831	21745
635	37890	21685
636	37951	21627
637	38006	21564
638	38064	21504
639	38124	21445
640	38182	21384
641	38233	21320
642	38291	21259
643	38353	21201
644	38412	21141
645	38466	21079
646	38518	21015
647	38580	20957
648	38634	20894
649	38692	20834
650	38749	20773
651	38806	20712
652	38864	20652
653	38922	20591
654	38987	20535
655	39048	20476
656	39103	20414
657	39161	20354
658	39219	20294
659	39278	20234
660	39331	20171
661	39392	20112
662	39449	20051
663	39507	19991
664	39559	19928
665	39615	19867
666	39670	19805
667	39734	19748
668	39789	19686
669	39844	19624
670	39900	19563
671	39965	19506
672	40023	19446
673	40082	19387
674	40136	19324
675	40196	19265
676	40251	19204
677	40304	19141
678	40358	19079
679	40417	19020
680	40472	18958
681	40527	18896
682	40580	18834
683	40636	18773
684	40693	18713
685	40746	18650
686	40804	18590
687	40858	18528
688	40915	18468
689	40973	18408
690	41027	18346
691	41083	18285
692	41144	18227
693	41200	18166
694	41257	18105
695	41318	18047
696	41386	17991
697	41442	17930
698	41497	17869
699	41548	17806
700	41606	17746
